Date,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
6/28,108.44,213.77,400.67,237.71,235.65,202.94,,,,,
6/29,113.53,216.9,387.08,237.34,235.65,202.94,,,,,
6/30,114.15,217.43,367.63,241.99,235.65,203.96,,,,,
7/1,115.04,221.01,383.28,241.99,244.08,207.03,,,,,
7/2,118.92,224.73,383.28,241.99,244.34,208.79,,,,,
7/3,118.92,224.73,383.28,241.99,247.88,208.79,,,,,
7/4,118.92,224.73,383.28,241.99,247.88,207.96,,,,,
7/5,118.92,224.73,345.4,242.33,247.88,207.96,,,,,
7/6,116.83,218.82,329.66,244.38,247.88,207.96,,,,,
7/7,119.75,214.85,345.04,249.18,247.88,207.96,,,,,
7/8,120.94,219.27,347.71,249.18,240.54,211.47,,,,,
7/9,116.05,223.7,347.71,249.18,240.49,213.04,,,,,
7/10,118.66,223.7,347.71,250.71,234.59,211.24,,,,,
7/11,118.66,223.7,342.97,254.77,237.28,215.70,,,,,
7/12,118.66,222.22,322.96,257.7,236.03,215.70,,,,,
7/13,117.59,226.58,319.87,260.86,236.03,215.70,,,,,
7/14,114.74,222.35,307.43,257.37,236.03,209.04,,,,,
7/15,116.95,218.28,306.32,257.37,235.16,208.51,,,,,
7/16,113.14,219.61,306.32,257.37,235,208.51,,,,,
7/17,112.2,219.61,306.32,256.92,238.13,205.70,,,,,
7/18,112.2,219.61,313.68,261.44,236.89,209.16,,,,,
7/19,112.2,204.79,319.75,267.05,233.29,209.16,,,,,
7/20,112.31,206.65,316.54,273.07,233.29,209.16,,,,,
7/21,117.54,215.42,302.95,276.67,233.29,207.76,,,,,
7/22,117.78,220.82,301.28,276.67,237.06,204.69,,,,,
7/23,114.88,220.88,301.28,276.67,230.07,206.46,,,,,
7/24,117.35,220.88,301.28,286.16,235.04,206.46,,,,,
7/25,117.35,220.88,306.45,282.38,238.45,,,,,,
7/26,117.35,223.04,305.43,287.52,237.7,,,,,,
7/27,115.72,222.43,311.86,295.15,237.7,,,,,,
7/28,115.27,222.45,300.68,294.01,237.7,,,,,,
7/29,112.32,227.56,297.82,294.01,232.23,,,,,,
7/30,110.33,228.97,297.82,294.01,228.68,,,,,,
7/31,108.36,228.97,297.82,294.05,240.5,,,,,,
8/1,108.36,228.97,279.81,289.8,236.3,,,,,,
8/2,108.36,222.47,289.42,278.33,229.26,,,,,,
8/3,112.81,222.08,276.47,277.97,229.26,,,,,,
8/4,113.18,219.5,260.6,283.56,229.26,,,,,,
8/5,115.28,224.4,265.56,283.56,235.36,,,,,,
8/6,116.56,221.44,265.56,283.56,229.12,,,,,,
8/7,115.71,221.44,265.56,287.44,231.73,,,,,,
8/8,115.71,221.44,270.62,292.01,241.17,,,,,,
8/9,115.71,218.98,277.27,299.84,239.03,,,,,,
8/10,116.93,221.54,286.53,297.27,239.03,,,,,,
8/11,114.7,225.22,286.4,302.99,239.03,,,,,,
8/12,118.13,222.29,284.6,302.99,241.04,,,,,,
8/13,117.13,221.51,284.6,302.99,232.22,,,,,,
8/14,118.56,221.51,284.6,297.12,227.61,,,,,,
8/15,118.56,221.51,276.92,289.76,231.05,,,,,,
8/16,118.56,214.84,268.32,290.96,227.52,,,,,,
8/17,120.75,210.56,271.7,288.17,227.52,,,,,,
8/18,122.04,209.02,286.11,289.32,227.52,,,,,,
8/19,122.35,202.75,285.5,289.32,221.88,,,,,,
8/20,122.64,196.86,285.5,289.32,220.1,,,,,,
8/21,122.05,196.86,285.5,284.51,214.38,,,,,,
8/22,122.05,196.86,271.87,281.75,215.68,,,,,,
8/23,122.05,208.07,281.05,282.7,219.86,,,,,,
8/24,129.98,213.51,272.2,287.35,219.86,,,,,,
8/25,130.1,224.5,274.74,294.5,219.86,,,,,,
8/26,129.84,219.48,277.99,294.5,220.99,,,,,,
8/27,122.57,221.71,277.99,294.5,215.51,,,,,,
8/28,126.15,221.71,277.99,286.19,212.73,,,,,,
8/29,126.15,221.71,281.61,284.4,216.52,,,,,,
8/30,126.15,225.88,260.03,286.46,213.32,,,,,,
8/31,122.87,221.44,250.08,275.84,213.32,,,,,,
9/1,121.72,218.19,248.68,279.37,213.32,,,,,,
9/2,120.45,223.35,258.41,279.37,213.32,,,,,,
9/3,120.99,220.65,258.41,279.37,199.77,,,,,,
9/4,118.37,220.65,258.41,279.37,197.43,,,,,,
9/5,118.37,220.65,258.41,276.85,191.33,,,,,,
9/6,118.37,220.65,256.09,277.14,190.1,,,,,,
9/7,118.37,219.75,242.77,277.8,190.1,,,,,,
9/8,109.53,216.71,245.11,285.12,190.1,,,,,,
